card_id,card_number,card_name,card_type,card_subtype,class_family,class_rank,evolution_path,mana_cost,exp_value,is_ultimate,attack_type,base_damage,defense_type,block_value,target_type,usage_phase,timing,mechanic_tags,counter_type,casting_time,requires_target,exhaust_required,once_per_turn,burn,freeze,stun,bleed,curse,poison,heal,shield,buff_type,buff_value,buff_duration,revive_hp,mana_gain,attack_restriction,damage_immunity,immunity_duration,self_status,self_status_duration,cost_type,cost_value,draw_value,damage_reduction,negate,return_to_hand,remove_status_count,untargetable_duration,conditional_requirement,kill_condition,kill_effect,targeting_rule,targeting_override,compatible_classes,compatible_ranks,restricted_to,short_text,full_description,effect_text,flavor_text,artwork_url,image_url,thumbnail_url,local_thumbnail_path,artist_name,frame_variant,asset_status,power_score,combo_risk,status,version,last_updated,design_notes,requires_mana,class_restriction,lineage_match_classes,lineage_compatible_active_classes,lineage_resolution_rule,explicit_rank_gate,copy_limit,remove_exhaust,hand_reveal,search_top_count,add_to_hand_count,shuffle_rest,reveal_top_count,reorder_top_deck,source_card_id,base_skill_class,gallery_category,card_color,area_attack_damage_reduction,area_attack_damage_reduction_3_base_classes,max_uses_per_area_attack,legacy_internal_id,ultimate_class_lineage_id,ultimate_tribute_rule
S1-ARC-001,S1-ARC-001,Bow Bash,Skill,ATK,Archer,Archer Rank I,Archer;Marksman;Grand Ranger,3,100,FALSE,Physical Attack,10,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Stun,,,TRUE,True,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Deal 10 Physical Attack damage. Inflict Stun for 1 turn.,Deal 10 Physical Attack damage. Inflict Stun for 1 turn.,Deal 10 Physical Attack damage. Inflict Stun for 1 turn.,,runtime_thumbnail_assets/cards/S1-ARC-001.jpg,runtime_thumbnail_assets/cards/S1-ARC-001.jpg,runtime_thumbnail_assets/cards/S1-ARC-001.webp,runtime_thumbnail_assets/cards/S1-ARC-001.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-001,Archer,S1B2,,,,,S1-ARC-001,,
S1-ARC-002,S1-ARC-002,Poison Arrow,Skill,ATK,Archer,Archer Rank I,Archer;Marksman;Grand Ranger,3,100,FALSE,Physical Attack,10,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Poison,,,TRUE,True,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Deal 10 Physical Attack damage. Inflict Poison for 2 turns.,Deal 10 Physical Attack damage. Inflict Poison for 2 turns.,Deal 10 Physical Attack damage. Inflict Poison for 2 turns.,,runtime_thumbnail_assets/cards/S1-ARC-002.jpg,runtime_thumbnail_assets/cards/S1-ARC-002.jpg,runtime_thumbnail_assets/cards/S1-ARC-002.webp,runtime_thumbnail_assets/cards/S1-ARC-002.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-002,Archer,S1B2,,,,,S1-ARC-002,,
S1-ARC-003,S1-ARC-003,Escape Arrow,Skill,DEF,Archer,Archer Rank I,Archer;Marksman;Grand Ranger,0,100,FALSE,,,Dodge,,Incoming Attack,Battle Phase / DEF Response,Battle Phase / DEF Response,DEF;Dodge;Discard Cost,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Discard 1 card in your hand to dodge incoming Physical or Magical damage.,Discard 1 card in your hand to dodge incoming Physical or Magical damage.,Discard 1 card in your hand to dodge incoming Physical or Magical damage.,,runtime_thumbnail_assets/cards/S1-ARC-003.jpg,runtime_thumbnail_assets/cards/S1-ARC-003.jpg,runtime_thumbnail_assets/cards/S1-ARC-003.webp,runtime_thumbnail_assets/cards/S1-ARC-003.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-003,Archer,S1B2,,,,,S1-ARC-003,,
S1-ARC-004,S1-ARC-004,Eyes of the Hawk,Skill,TACTICAL,Archer,Archer Rank I,Archer;Marksman;Grand Ranger,2,100,FALSE,,,,,Opponent Hand,Deploy Phase,Deploy Phase,Tactical;Opponent Hand Disrupt,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Choose a random card from your opponent's hand and shuffle it into their deck.,Choose a random card from your opponent's hand and shuffle it into their deck.,Choose a random card from your opponent's hand and shuffle it into their deck.,,runtime_thumbnail_assets/cards/S1-ARC-004.jpg,runtime_thumbnail_assets/cards/S1-ARC-004.jpg,runtime_thumbnail_assets/cards/S1-ARC-004.webp,runtime_thumbnail_assets/cards/S1-ARC-004.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-004,Archer,S1B2,,,,,S1-ARC-004,,
S1-ARC-005,S1-ARC-005,Reload,Skill,TACTICAL,Archer,Archer Rank I,Archer;Marksman;Grand Ranger,2,100,FALSE,,,,,Self,Deploy Phase,Deploy Phase,Tactical;Draw,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Draw 2 cards from your deck.,Draw 2 cards from your deck.,Draw 2 cards from your deck.,,runtime_thumbnail_assets/cards/S1-ARC-005.jpg,runtime_thumbnail_assets/cards/S1-ARC-005.jpg,runtime_thumbnail_assets/cards/S1-ARC-005.webp,runtime_thumbnail_assets/cards/S1-ARC-005.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-005,Archer,S1B2,,,,,S1-ARC-005,,
S1-ARC-006,S1-ARC-006,Frost Arrow,Skill,ATK,Archer,Archer Rank I; Marksman Rank II,Archer;Marksman;Grand Ranger,3,100,FALSE,Physical Attack,Archer 10; Marksman 30,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Freeze,,,TRUE,True,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Archer: Deal 10 Physical Attack damage and inflict Freeze for 2 turns. Marksman: Deal 30 Physical Attack damage and inflict Freeze for 2 turns.,Archer: Deal 10 Physical Attack damage and inflict Freeze for 2 turns. Marksman: Deal 30 Physical Attack damage and inflict Freeze for 2 turns.,Archer: Deal 10 Physical Attack damage and inflict Freeze for 2 turns. Marksman: Deal 30 Physical Attack damage and inflict Freeze for 2 turns.,,runtime_thumbnail_assets/cards/S1-ARC-006.jpg,runtime_thumbnail_assets/cards/S1-ARC-006.jpg,runtime_thumbnail_assets/cards/S1-ARC-006.webp,runtime_thumbnail_assets/cards/S1-ARC-006.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-006,Archer,S1B2,,,,,S1-ARC-006,,
S1-ARC-007,S1-ARC-007,Burning Arrow,Skill,ATK,Archer,Archer Rank I; Marksman Rank II,Archer;Marksman;Grand Ranger,4,100,FALSE,Physical Attack,Archer 20; Marksman 40,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Burn,,,TRUE,True,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Archer: Deal 20 Physical Attack damage and inflict Burn for 2 turns. Marksman: Deal 40 Physical Attack damage and inflict Burn for 2 turns.,Archer: Deal 20 Physical Attack damage and inflict Burn for 2 turns. Marksman: Deal 40 Physical Attack damage and inflict Burn for 2 turns.,Archer: Deal 20 Physical Attack damage and inflict Burn for 2 turns. Marksman: Deal 40 Physical Attack damage and inflict Burn for 2 turns.,,runtime_thumbnail_assets/cards/S1-ARC-007.jpg,runtime_thumbnail_assets/cards/S1-ARC-007.jpg,runtime_thumbnail_assets/cards/S1-ARC-007.webp,runtime_thumbnail_assets/cards/S1-ARC-007.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-007,Archer,S1B2,,,,,S1-ARC-007,,
S1-ARC-008,S1-ARC-008,Ambush Shot,Skill,ATK,Archer,Archer Rank I; Marksman Rank II,Archer;Marksman;Grand Ranger,4,100,FALSE,Physical Attack,Archer 50; Marksman 60,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Cannot Be Dodged,,,TRUE,True,,,,,,,,,,,,,,,,,,,,Discard Hand,1,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,"Archer: Discard 1 card in your hand. This attack cannot be dodged. Deal 50 Physical Attack damage. Marksman: Same effect, deal 60 Physical Attack damage.","Archer: Discard 1 card in your hand. This attack cannot be dodged. Deal 50 Physical Attack damage. Marksman: Same effect, deal 60 Physical Attack damage.","Archer: Discard 1 card in your hand. This attack cannot be dodged. Deal 50 Physical Attack damage. Marksman: Same effect, deal 60 Physical Attack damage.",,runtime_thumbnail_assets/cards/S1-ARC-008.jpg,runtime_thumbnail_assets/cards/S1-ARC-008.jpg,runtime_thumbnail_assets/cards/S1-ARC-008.webp,runtime_thumbnail_assets/cards/S1-ARC-008.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-008,Archer,S1B2,,,,,S1-ARC-008,,
S1-ARC-009,S1-ARC-009,Arrow Volley,Skill,ATK,Archer,Archer Rank I; Marksman Rank II,Archer;Marksman;Grand Ranger,6,100,FALSE,Physical Attack,Archer 20; Marksman 30,,,Area Coverage,Battle Phase,Battle Phase,ATK;Physical Attack;Area,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Deal Area Physical damage. Archer: 20 damage. Marksman: 30 damage.,Deal Area Physical damage. Archer: 20 damage. Marksman: 30 damage.,Deal Area Physical damage. Archer: 20 damage. Marksman: 30 damage.,,runtime_thumbnail_assets/cards/S1-ARC-009.jpg,runtime_thumbnail_assets/cards/S1-ARC-009.jpg,runtime_thumbnail_assets/cards/S1-ARC-009.webp,runtime_thumbnail_assets/cards/S1-ARC-009.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-009,Archer,S1B2,,,,,S1-ARC-009,,
S1-ARC-010,S1-ARC-010,Arrow Barrage,Skill,ATK,Archer,Marksman Rank II,Archer;Marksman;Grand Ranger,0,100,FALSE,Physical Attack,10,,,Opponent Hero,Battle Phase,Battle Phase,ATK;Physical Attack;Spend All Mana,,,TRUE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer;Marksman;Grand Ranger,Lineage-derived,,Spend all your Mana Shards. Multiply this card damage by the amount of mana spent this way.,Spend all your Mana Shards. Multiply this card damage by the amount of mana spent this way.,Spend all your Mana Shards. Multiply this card damage by the amount of mana spent this way.,,runtime_thumbnail_assets/cards/S1-ARC-010.jpg,runtime_thumbnail_assets/cards/S1-ARC-010.jpg,runtime_thumbnail_assets/cards/S1-ARC-010.webp,runtime_thumbnail_assets/cards/S1-ARC-010.webp,,,S1B2 v0.2 source-sync from JPG card source.,,,Active,S1B2-v0.2.2-archer-hero-sync,2026-06-15,Source-synced from Grandis Legacy S1B2 v0.2 JPG. User overrides: Poison Mist remains 6 Mana; Nightshade Venom remains +1 Poison duration and +10 ATK.,TRUE,Archer,Archer,Archer;Marksman;Grand Ranger,Fixed class lineage match.,,2,,,,,,,,S1-ARC-010,Archer,S1B2,,,,,S1-ARC-010,,
